timestamp,src_ip,dst_ip,protocol,size
1776062462.5524974,52.114.113.249,10.52.3.136,17,187
1776062462.5531137,52.114.113.249,10.52.3.136,17,114
1776062462.55361,52.114.113.249,10.52.3.136,17,185
1776062462.554019,52.114.113.249,10.52.3.136,17,178
1776062462.5543883,52.114.113.249,10.52.3.136,17,178
1776062462.554714,52.114.113.249,10.52.3.136,17,167
1776062462.5550246,52.114.113.249,10.52.3.136,17,162
1776062462.555318,52.114.113.249,10.52.3.136,17,174
1776062462.5557683,52.114.113.249,10.52.3.136,17,167
1776062462.5622451,52.114.113.249,10.52.3.136,17,157
1776062462.6555269,52.114.113.249,10.52.3.136,17,154
1776062462.6566582,52.114.113.249,10.52.3.136,17,576
1776062462.6575549,20.87.245.6,10.52.3.136,6,1490
1776062462.6588726,20.87.245.6,10.52.3.136,6,521
1776062462.65935,10.52.3.136,20.87.245.6,6,54
1776062462.659968,52.114.113.249,10.52.3.136,17,155
1776062462.6603868,52.114.113.249,10.52.3.136,17,163
1776062462.6609116,52.114.113.249,10.52.3.136,17,158
1776062462.6615274,10.52.3.136,20.87.245.6,6,89
1776062462.6662586,10.52.2.44,224.0.0.251,17,482
1776062462.6672163,10.52.0.231,224.0.0.22,2,54
1776062462.6701412,52.114.113.249,10.52.3.136,17,156
1776062462.7593777,52.114.113.249,10.52.3.136,17,163
1776062462.7598581,52.114.113.249,10.52.3.136,17,179
1776062462.7601695,52.114.113.249,10.52.3.136,17,168
1776062462.7604666,52.114.113.249,10.52.3.136,17,159
1776062462.7607348,20.87.245.6,10.52.3.136,6,60
1776062462.7609932,52.114.113.249,10.52.3.136,17,166
1776062462.8274267,10.52.3.136,52.114.113.249,17,158
1776062462.834955,52.114.113.249,10.52.3.136,17,160
1776062462.8353872,52.114.113.249,10.52.3.136,17,166
1776062462.8357525,52.114.113.249,10.52.3.136,17,174
1776062462.841422,52.114.113.249,10.52.3.136,17,185
1776062462.8600092,10.52.0.11,224.0.0.5,89,106
1776062462.8622205,52.114.113.249,10.52.3.136,17,192
1776062462.8829494,52.114.113.249,10.52.3.136,17,198
1776062462.8919148,52.114.113.249,10.52.3.136,17,591
1776062462.893838,10.52.3.136,192.168.170.51,17,92
1776062462.895081,10.52.3.136,192.168.170.51,17,92
1776062462.8955147,10.52.3.136,104.208.16.95,6,172
1776062462.895854,10.52.3.136,104.208.16.95,6,1494
1776062462.896151,10.52.3.136,104.208.16.95,6,1494
1776062462.8966875,10.52.3.136,104.208.16.95,6,1494
1776062462.896986,10.52.3.136,104.208.16.95,6,1494
1776062462.8972936,10.52.3.136,104.208.16.95,6,1494
1776062462.8976095,10.52.3.136,104.208.16.95,6,1494
1776062462.8984847,10.52.3.136,104.208.16.95,6,116
1776062462.899445,192.168.170.51,10.52.3.136,17,275
1776062462.900316,192.168.170.51,10.52.3.136,17,215
1776062462.9017951,52.114.113.249,10.52.3.136,17,190
1776062462.9623334,52.114.113.249,10.52.3.136,17,193
